101,Van Cortlandt Park - 242 St
101N,Van Cortlandt Park - 242 St
101S,Van Cortlandt Park - 242 St
103,238 St
103N,238 St
103S,238 St
104,231 St
104N,231 St
104S,231 St
106,Marble Hill - 225 St
106N,Marble Hill - 225 St
106S,Marble Hill - 225 St
107,215 St
107N,215 St
107S,215 St
108,207 St
108N,207 St
108S,207 St
109,Dyckman St
109N,Dyckman St
109S,Dyckman St
110,191 St
110N,191 St
110S,191 St
111,181 St
111N,181 St
111S,181 St
112,168 St - Washington Hts
112N,168 St - Washington Hts
112S,168 St - Washington Hts
113,157 St
113N,157 St
113S,157 St
114,145 St
114N,145 St
114S,145 St
115,137 St - City College
115N,137 St - City College
115S,137 St - City College
116,125 St
116N,125 St
116S,125 St
117,116 St - Columbia University
117N,116 St - Columbia University
117S,116 St - Columbia University
118,Cathedral Pkwy
118N,Cathedral Pkwy
118S,Cathedral Pkwy
119,103 St
119N,103 St
119S,103 St
120,96 St
120N,96 St
120S,96 St
121,86 St
121N,86 St
121S,86 St
122,79 St
122N,79 St
122S,79 St
123,72 St
123N,72 St
123S,72 St
124,66 St - Lincoln Center
124N,66 St - Lincoln Center
124S,66 St - Lincoln Center
125,59 St - Columbus Circle
125N,59 St - Columbus Circle
125S,59 St - Columbus Circle
126,50 St
126N,50 St
126S,50 St
127,Times Sq - 42 St
127N,Times Sq - 42 St
127S,Times Sq - 42 St
128,34 St - Penn Station
128N,34 St - Penn Station
128S,34 St - Penn Station
129,28 St
129N,28 St
129S,28 St
130,23 St
130N,23 St
130S,23 St
131,18 St
131N,18 St
131S,18 St
132,14 St
132N,14 St
132S,14 St
133,Christopher St - Sheridan Sq
133N,Christopher St - Sheridan Sq
133S,Christopher St - Sheridan Sq
134,Houston St
134N,Houston St
134S,Houston St
135,Canal St
135N,Canal St
135S,Canal St
136,Franklin St
136N,Franklin St
136S,Franklin St
137,Chambers St
137N,Chambers St
137S,Chambers St
138,Cortlandt St
138N,Cortlandt St
138S,Cortlandt St
139,Rector St
139N,Rector St
139S,Rector St
140,South Ferry Loop
140N,South Ferry Loop
140S,South Ferry Loop
142,South Ferry
142N,South Ferry
142S,South Ferry
201,Wakefield - 241 St
201N,Wakefield - 241 St
201S,Wakefield - 241 St
204,Nereid Av
204N,Nereid Av
204S,Nereid Av
205,233 St
205N,233 St
205S,233 St
206,225 St
206N,225 St
206S,225 St
207,219 St
207N,219 St
207S,219 St
208,Gun Hill Rd
208N,Gun Hill Rd
208S,Gun Hill Rd
209,Burke Av
209N,Burke Av
209S,Burke Av
210,Allerton Av
210N,Allerton Av
210S,Allerton Av
211,Pelham Pkwy
211N,Pelham Pkwy
211S,Pelham Pkwy
212,Bronx Park East
212N,Bronx Park East
212S,Bronx Park East
213,E 180 St
213N,E 180 St
213S,E 180 St
214,West Farms Sq - E Tremont Av
214N,West Farms Sq - E Tremont Av
214S,West Farms Sq - E Tremont Av
215,174 St
215N,174 St
215S,174 St
216,Freeman St
216N,Freeman St
216S,Freeman St
217,Simpson St
217N,Simpson St
217S,Simpson St
218,Intervale Av
218N,Intervale Av
218S,Intervale Av
219,Prospect Av
219N,Prospect Av
219S,Prospect Av
220,Jackson Av
220N,Jackson Av
220S,Jackson Av
221,3 Av - 149 St
221N,3 Av - 149 St
221S,3 Av - 149 St
222,149 St - Grand Concourse
222N,149 St - Grand Concourse
222S,149 St - Grand Concourse
224,135 St
224N,135 St
224S,135 St
225,125 St
225N,125 St
225S,125 St
226,116 St
226N,116 St
226S,116 St
227,Central Park North (110 St)
227N,Central Park North (110 St)
227S,Central Park North (110 St)
227.1,96 St
227.1N,96 St
227.1S,96 St
227.2,72 St
227.2N,72 St
227.2S,72 St
227.3,Times Sq - 42 St
227.3N,Times Sq - 42 St
227.3S,Times Sq - 42 St
227.4,34 St - Penn Station
227.4N,34 St - Penn Station
227.4S,34 St - Penn Station
227.5,14 St
227.5N,14 St
227.5S,14 St
228,Park Pl
228N,Park Pl
228S,Park Pl
229,Fulton St
229N,Fulton St
229S,Fulton St
230,Wall St
230N,Wall St
230S,Wall St
231,Clark St
231N,Clark St
231S,Clark St
232,Borough Hall
232N,Borough Hall
232S,Borough Hall
233,Hoyt St
233N,Hoyt St
233S,Hoyt St
234,Nevins St
234N,Nevins St
234S,Nevins St
235,Atlantic Av-Barclays Ctr
235N,Atlantic Av-Barclays Ctr
235S,Atlantic Av-Barclays Ctr
236,Bergen St
236N,Bergen St
236S,Bergen St
237,Grand Army Plaza
237N,Grand Army Plaza
237S,Grand Army Plaza
238,Eastern Pkwy - Brooklyn Museum
238N,Eastern Pkwy - Brooklyn Museum
238S,Eastern Pkwy - Brooklyn Museum
239,Franklin Av
239N,Franklin Av
239S,Franklin Av
241,President St
241N,President St
241S,President St
242,Sterling St
242N,Sterling St
242S,Sterling St
243,Winthrop St
243N,Winthrop St
243S,Winthrop St
244,Church Av
244N,Church Av
244S,Church Av
245,Beverly Rd
245N,Beverly Rd
245S,Beverly Rd
246,Newkirk Av
246N,Newkirk Av
246S,Newkirk Av
247,Flatbush Av - Brooklyn College
247N,Flatbush Av - Brooklyn College
247S,Flatbush Av - Brooklyn College
301,Harlem - 148 St
301N,Harlem - 148 St
301S,Harlem - 148 St
302,145 St
302N,145 St
302S,145 St
303,135 St
303N,135 St
303S,135 St
304,125 St
304N,125 St
304S,125 St
305,116 St
305N,116 St
305S,116 St
306,Central Park North (110 St)
306N,Central Park North (110 St)
306S,Central Park North (110 St)
308,96 St
308N,96 St
308S,96 St
309,72 St
309N,72 St
309S,72 St
310,Times Sq - 42 St
310N,Times Sq - 42 St
310S,Times Sq - 42 St
311,34 St - Penn Station
311N,34 St - Penn Station
311S,34 St - Penn Station
312,14 St
312N,14 St
312S,14 St
313,Park Pl
313N,Park Pl
313S,Park Pl
314,Fulton St
314N,Fulton St
314S,Fulton St
315,Wall St
315N,Wall St
315S,Wall St
316,Clark St
316N,Clark St
316S,Clark St
317,Borough Hall
317N,Borough Hall
317S,Borough Hall
318,Hoyt St
318N,Hoyt St
318S,Hoyt St
319,Nevins St
319N,Nevins St
319S,Nevins St
320,Atlantic Av-Barclays Ctr
320N,Atlantic Av-Barclays Ctr
320S,Atlantic Av-Barclays Ctr
321,Bergen St
321N,Bergen St
321S,Bergen St
322,Grand Army Plaza
322N,Grand Army Plaza
322S,Grand Army Plaza
323,Eastern Pkwy - Brooklyn Museum
323N,Eastern Pkwy - Brooklyn Museum
323S,Eastern Pkwy - Brooklyn Museum
324,Franklin Av
324N,Franklin Av
324S,Franklin Av
325,Nostrand Av
325N,Nostrand Av
325S,Nostrand Av
326,Kingston Av
326N,Kingston Av
326S,Kingston Av
327,Crown Hts - Utica Av
327N,Crown Hts - Utica Av
